               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.018434,           0.0046524,          0.00030548,             0.94252,                0.88,             0.90446,             0.63256,            0.018721,           0.0027252,           0.0002022,            0.002938,            0.002938,            0.002938
                 109,            0.018337,           0.0044684,          0.00032525,             0.95127,             0.88763,             0.93933,             0.64044,            0.018885,           0.0027924,          0.00020556,            0.002872,            0.002872,            0.002872
                 110,            0.017913,           0.0044138,          0.00030775,                   1,             0.85607,             0.91891,             0.61434,            0.018759,           0.0028371,          0.00020958,            0.002806,            0.002806,            0.002806
                 111,            0.018491,            0.004456,          0.00033637,             0.91698,             0.91801,             0.92607,             0.63085,            0.018709,           0.0027716,          0.00020721,             0.00274,             0.00274,             0.00274
                 112,            0.017562,            0.004402,          0.00024859,             0.94101,             0.85864,             0.89656,             0.62753,            0.018695,            0.002799,          0.00020183,            0.002674,            0.002674,            0.002674
                 113,            0.017966,           0.0046562,          0.00034523,             0.99319,             0.83596,             0.89732,             0.62203,            0.018451,           0.0028126,           0.0001785,            0.002608,            0.002608,            0.002608
                 114,            0.017347,           0.0043084,          0.00029415,             0.95954,                 0.9,             0.91048,             0.63493,            0.018635,           0.0027699,          0.00023911,            0.002542,            0.002542,            0.002542
                 115,             0.01698,           0.0043089,          0.00027061,             0.97517,             0.91606,             0.91938,             0.62941,            0.018762,            0.002803,          0.00023537,            0.002476,            0.002476,            0.002476
                 116,            0.016821,           0.0042388,          0.00030653,             0.93629,                 0.9,             0.91682,             0.61745,            0.018661,           0.0028349,          0.00021059,             0.00241,             0.00241,             0.00241
                 117,            0.017143,           0.0043242,          0.00037449,             0.95129,             0.91993,             0.91826,             0.63098,            0.018907,           0.0028901,           0.0002608,            0.002344,            0.002344,            0.002344
                 118,             0.01725,           0.0042759,          0.00031159,             0.94992,                0.92,             0.91514,             0.61601,             0.01904,           0.0028991,          0.00030745,            0.002278,            0.002278,            0.002278
                 119,            0.016849,           0.0044954,          0.00031036,             0.94962,             0.91937,             0.90823,             0.63185,            0.018516,           0.0028335,          0.00024271,            0.002212,            0.002212,            0.002212
                 120,            0.017194,           0.0044208,           0.0001997,             0.94402,             0.91801,             0.92418,             0.62874,            0.018512,           0.0028283,          0.00023746,            0.002146,            0.002146,            0.002146
                 121,            0.017031,           0.0045364,          0.00021126,             0.95163,             0.89801,              0.9194,              0.6209,            0.018262,           0.0028168,          0.00021348,             0.00208,             0.00208,             0.00208
                 122,            0.016322,           0.0041859,          0.00022932,             0.97221,             0.85801,             0.89773,             0.60675,              0.0183,           0.0027953,          0.00025509,            0.002014,            0.002014,            0.002014
                 123,            0.016257,           0.0044162,          0.00021203,             0.91906,             0.87801,             0.89353,             0.61563,            0.018415,           0.0028351,          0.00024553,            0.001948,            0.001948,            0.001948
                 124,            0.016567,           0.0042157,          0.00020574,             0.96736,                 0.9,             0.91934,             0.61598,            0.018401,           0.0027968,          0.00020828,            0.001882,            0.001882,            0.001882
                 125,            0.016587,           0.0042978,          0.00033603,               0.976,             0.89606,             0.91817,              0.6349,            0.018293,           0.0028357,          0.00016642,            0.001816,            0.001816,            0.001816
                 126,            0.016155,            0.004244,            0.000282,              0.9659,                 0.9,             0.92641,              0.6267,            0.018354,            0.002863,          0.00013728,             0.00175,             0.00175,             0.00175
                 127,             0.01674,           0.0043212,          0.00021827,             0.95264,             0.88224,             0.92322,              0.6352,             0.01811,           0.0028237,          0.00014215,            0.001684,            0.001684,            0.001684
                 128,            0.016563,           0.0042245,          0.00021277,             0.95368,             0.91042,             0.92482,             0.62955,            0.017793,           0.0027256,          0.00015039,            0.001618,            0.001618,            0.001618
                 129,            0.015249,           0.0041246,          0.00022781,             0.97384,             0.89299,             0.91981,             0.62549,            0.018073,            0.002724,          0.00017537,            0.001552,            0.001552,            0.001552
                 130,            0.016067,           0.0043284,          0.00023474,             0.95187,               0.898,             0.91853,             0.63497,            0.018081,           0.0027447,           0.0001486,            0.001486,            0.001486,            0.001486
                 131,            0.016097,           0.0041324,          0.00024364,              0.9502,             0.88176,             0.92002,             0.63524,            0.017947,           0.0027352,           0.0001478,             0.00142,             0.00142,             0.00142
                 132,            0.015703,           0.0043205,          0.00016272,             0.97247,             0.87686,              0.9178,             0.65188,            0.018202,           0.0027998,          0.00016206,            0.001354,            0.001354,            0.001354
                 133,            0.015678,           0.0042226,          0.00020056,             0.97304,             0.89463,             0.91832,             0.64176,            0.018187,           0.0027859,          0.00016712,            0.001288,            0.001288,            0.001288
                 134,            0.015036,           0.0041172,          0.00012926,             0.97403,             0.89643,             0.91244,             0.63068,             0.01796,           0.0027506,          0.00014051,            0.001222,            0.001222,            0.001222
                 135,            0.015294,           0.0041067,          0.00021928,             0.95368,             0.88987,              0.9097,             0.65546,            0.017924,            0.002753,          0.00013403,            0.001156,            0.001156,            0.001156
                 136,            0.015123,           0.0039167,          0.00016078,             0.97252,             0.87717,             0.90943,             0.62203,            0.018119,           0.0027877,          0.00013772,             0.00109,             0.00109,             0.00109
                 137,             0.01541,           0.0039836,          0.00019981,             0.95154,             0.88324,             0.91366,             0.61823,            0.018322,           0.0028031,          0.00015503,            0.001024,            0.001024,            0.001024
                 138,            0.015408,           0.0040612,          0.00020011,             0.93833,             0.89801,             0.91247,             0.63591,            0.017803,           0.0027791,          0.00015786,            0.000958,            0.000958,            0.000958
                 139,            0.015523,           0.0040908,          0.00021551,             0.97477,             0.87442,             0.91394,             0.63339,            0.017943,           0.0027782,          0.00015758,            0.000892,            0.000892,            0.000892
                 140,            0.014765,           0.0041496,          0.00015979,             0.97293,              0.8741,             0.91465,             0.62822,            0.018013,           0.0028138,           0.0001537,            0.000826,            0.000826,            0.000826
                 141,            0.015372,           0.0041216,          0.00017921,             0.97414,             0.89591,             0.91721,             0.62571,            0.017965,           0.0027871,          0.00012659,             0.00076,             0.00076,             0.00076
                 142,            0.015388,           0.0041741,          0.00022573,             0.97393,             0.89372,             0.91876,             0.61806,            0.017894,            0.002765,          0.00012251,            0.000694,            0.000694,            0.000694
                 143,               0.015,           0.0039897,           0.0002268,             0.97267,             0.87918,             0.92003,             0.63437,            0.017657,           0.0027565,          0.00012849,            0.000628,            0.000628,            0.000628
                 144,            0.015014,           0.0039001,          0.00019712,             0.95047,             0.88464,             0.91992,             0.61817,             0.01763,           0.0027237,          0.00014964,            0.000562,            0.000562,            0.000562
                 145,            0.014778,           0.0040825,          0.00014363,             0.95154,               0.899,             0.91766,             0.63623,            0.017658,           0.0027369,          0.00014858,            0.000496,            0.000496,            0.000496
                 146,            0.014972,           0.0040738,          0.00025536,             0.95484,                0.88,              0.9179,             0.64187,             0.01761,           0.0027408,          0.00013725,             0.00043,             0.00043,             0.00043
                 147,             0.01499,            0.004194,          0.00013572,             0.97562,             0.89369,             0.92018,             0.63764,            0.017628,           0.0027507,          0.00014431,            0.000364,            0.000364,            0.000364
                 148,            0.014873,           0.0041096,          0.00018396,             0.97295,             0.87335,             0.92013,             0.64094,            0.017667,           0.0027603,          0.00014737,            0.000298,            0.000298,            0.000298
                 149,            0.014125,           0.0039924,          0.00021663,             0.97479,             0.87467,             0.91948,             0.64271,            0.017637,            0.002762,          0.00014144,            0.000232,            0.000232,            0.000232
